station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num
G1940,上海虹桥,南京南,17:05,13,0,18,894,0
G7144,上海虹桥,南京南,17:07,20,0,52,129,0
G154,上海虹桥,南京南,17:14,3,0,16,675,0
G7118,上海虹桥,南京,17:18,5,0,28,383,0
G44,上海虹桥,南京南,17:24,0,0,3,105,0
G7056,上海,南京,17:28,0,0,50,526,0
G158,上海虹桥,南京南,17:34,0,0,0,372,0
G7256,上海,南京南,17:40,26,0,108,308,0
G7294,上海,南京南,17:45,0,0,49,183,0
D3136,上海虹桥,南京,17:47,0,0,33,207,163
D3046,上海虹桥,南京南,17:53,0,0,35,51,0
G7286,上海虹桥,南京南,17:54,10,0,19,64,0
G298,上海虹桥,南京南,17:59,18,0,44,155,0
G7024,上海,南京,18:00,0,18,31,960,0
G7120,上海虹桥,南京,18:09,0,0,50,476,0
G7391,上海虹桥,南京南,18:09,20,0,54,1000,0
G7058,上海,南京,18:13,0,0,50,524,0
G1826,上海虹桥,南京南,18:20,17,0,34,930,0
G1322,上海虹桥,南京南,18:26,4,0,7,39,0
G7156,上海虹桥,南京南,18:26,19,0,56,145,0
G7600,上海虹桥,南京南,18:31,0,0,17,195,0
G7520,上海虹桥,南京南,18:34,13,0,111,405,0
G7060,上海,南京南,18:42,9,0,28,465,0
D3126,上海虹桥,南京,18:47,0,0,11,180,0
G8,上海虹桥,南京南,19:00,6,0,12,140,0
G7026,上海,南京,19:00,0,24,60,962,0
G7122,上海虹桥,南京南,19:03,10,0,28,488,0
G368,上海虹桥,南京南,19:05,11,0,21,668,0
D312,上海,南京,24:00,0,0,0,0,0
G7590,上海虹桥,南京南,19:11,5,0,28,27,0
G7260,上海,南京南,19:15,0,0,47,132,0
G7584,上海虹桥,南京,19:17,0,0,50,202,0
G7124,上海虹桥,南京,19:29,0,0,49,489,0
G7062,上海,南京,19:32,0,0,48,506,0
G7064,上海,南京南,19:37,26,0,118,850,0
G7298,上海,南京南,19:51,0,0,50,171,0
D322,上海,南京,24:00,0,0,0,0,0
G7588,上海虹桥,南京南,19:54,0,0,0,0,0
G7178,上海虹桥,南京南,20:00,20,0,56,998,0
G7028,上海,南京,20:00,0,24,58,969,0
G7066,上海,南京,20:08,0,0,101,1000,0
G7068,上海,南京,20:19,0,0,50,525,0
G7596,上海虹桥,南京南,20:22,2,0,19,232,0
G7126,上海虹桥,南京南,20:32,19,0,56,951,0
G7070,上海,南京南,20:40,10,0,28,507,0
G7168,上海虹桥,南京南,20:45,0,32,88,192,0
G7582,上海虹桥,南京南,20:45,5,0,27,78,0
G7030,上海,南京,20:59,0,0,49,516,0
D314,上海,南京,21:08,0,0,0,1,0
G7128,上海虹桥,南京,21:10,0,0,50,485,0
D2282,上海虹桥,南京,21:23,0,0,1,0,0
G7350,上海虹桥,南京南,21:42,0,0,19,51,0
D306,上海,南京,22:24,0,0,0,11,0
